,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,スクレイピング関連,,,,,自動発注関連_設定項目,,,,,,,,,自動メール関連_設定項目,,,,,,,,電話(非自動)仕入関連_設定項目,,,
NO,仕入先CD,名称,"読取後列
属性指定","スクレイピング
ON/off","自動メール
ON/off","在庫有表記
１","在庫有表記
２","在庫有表記
3","在庫有表記
4","在庫有表記
5",ログイン必要有無,優先順位,ID,PW,発注保留上限金額,発注保留上限日数,"自動発注
制限単価","自動発注
制限個数","自動発注
直前確認",宛名,宛先,店舗アドレス,メール保留上限金額,メール保留上限日数,"メール発注
制限単価","メール発注
制限個数","自動発注
直前確認",優先順位,保留上限金額,保留上限日数,-
1,X000001,ヨドバシカメラ,設定POPへ,ON,対象外　,在庫あり,-,-,-,-,有り,1,,,,,,,,,,,,,,,,,,,
2,X000002,楽天ブックス,〃,ON,対象外　,在庫あり,-,-,-,-,無し,2,,,,,,,,,,,,,,,,,,,
3,X000003,紀伊国屋書店,〃,ON,対象外　,ウェブストア専用在庫あり（通常、ご注文翌日～2日後に出荷）,提携先に在庫あり（通常、5～7日程度で出荷）,お取り寄せ（通常、およそ1～3週間で出荷）,在庫僅少（通常、3～7日後に出荷）,ウェブストアに🔵冊在庫がございます。,無し,3,,,,,,,,,,,,,,,,,,,
4,X000004,e-hon,〃,ON,対象外　,通常１～２日で出荷,メーカーより取寄せ,-,-,-,無し,4,,,,,,,,,,,,,,,,,,,
5,X000005,日本の古本屋,〃,ON,対象外　,-,-,-,-,-,無し,,,,,,,,,,,,,,,,,,,,
6,X000007,丸善ジュンク堂書店-web,〃,ON,対象外　,在庫あり,提携倉庫在庫あり,-,-,-,無し,5,,,,,,,,,,,,,,,,,,,
7,X000008,丸善ジュンク堂書店-札幌店,〃,ON,ON,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
8,X000009,丸善ジュンク堂書店-盛岡店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
9,X000010,丸善ジュンク堂書店-仙台アエル店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
10,X000011,丸善ジュンク堂書店-秋田店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
11,X000012,丸善ジュンク堂書店-大宮高島屋店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
12,X000013,丸善ジュンク堂書店-桶川店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
13,X000014,丸善ジュンク堂書店-南船橋店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
14,X000015,丸善ジュンク堂書店-津田沼店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
15,X000016,丸善ジュンク堂書店-吉祥寺店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
16,X000017,丸善ジュンク堂書店-大泉学園店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
17,X000018,丸善ジュンク堂書店-池袋本店,〃,ON,ON,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
18,X000019,丸善ジュンク堂書店-立川高島屋店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
19,X000020,丸善ジュンク堂書店-丸の内本店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
20,X000021,丸善ジュンク堂書店-多摩センター店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
21,X000022,丸善ジュンク堂書店-藤沢店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
22,X000023,丸善ジュンク堂書店-横浜みなとみらい店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
23,X000024,丸善ジュンク堂書店-新潟店,〃,ON,ON,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
24,X000025,丸善ジュンク堂書店-松本店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
25,X000026,丸善ジュンク堂書店-岐阜店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
26,X000027,丸善ジュンク堂書店-新静岡店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
27,X000028,丸善ジュンク堂書店-名古屋本店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
28,X000029,丸善ジュンク堂書店-京都本店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
29,X000030,丸善ジュンク堂書店-梅田店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
30,X000031,丸善ジュンク堂書店-難波店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
31,X000032,丸善ジュンク堂書店-三宮店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
32,X000033,丸善ジュンク堂書店-岡山シンフォニービル店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
33,X000034,丸善ジュンク堂書店-広島店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
34,X000035,丸善ジュンク堂書店-那覇店,〃,ON,OFF,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,無し,6,,,,,,,,,,,,,,,,,,,
35,X000036,紀伊国屋書店_新宿本店,,,,,,,,,有り,,,,,,,,,,,,,,,,,,,,
36,X000037,紀伊国屋書店_新宿本店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,X000038,三省堂書店_神保町本店仮店舗,,,,,,,,,無し,,,,,,,,,,,,,,,,,,,,
38,X000039,三省堂書店_池袋本店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
