,,,,,在庫表示,,,,,,,,サイトID
NO,サイト種別,サイト名,機能,URL表記,在庫有りの扱い１,在庫有りの扱い２,在庫有りの扱い３,在庫有りの扱い４,在庫有りの扱い５,在庫無しの扱い１,在庫無しの扱い２,在庫無しの扱い3,
1,(EC),ヨドバシカメラ,自動発注,https://www.yodobashi.com/?word=9784276210929,在庫あり,-,-,-,-,お取り寄せ,販売休止中です,-,
2,(EC),紀伊国屋書店,自動発注,https://www.kinokuniya.co.jp/f/dsg-01-9784276210929,ウェブストア専用在庫あり（通常、ご注文翌日～2日後に出荷）,提携先に在庫あり（通常、5～7日程度で出荷）,お取り寄せ（通常、およそ1～3週間で出荷）,在庫僅少（通常、3～7日後に出荷）,ウェブストアに🔵冊在庫がございます。,ご注文いただけません,ご予約受付中（分納になります）,ウェブストアでは予約受け付けを終了しました。,
3,(EC),楽天ブックス,発注保留機能,https://books.rakuten.co.jp/search?sitem=9784276210929,在庫あり,-,-,-,-,"取り寄せ(通常3〜9日程度で発送) 商品確保が難しい場合、2週間程度でキャンセルとなる可能性があります。
",予約受付中,ご注文できない商品,
4,(EC),e-hon,発注保留機能,https://www.e-hon.ne.jp/bec/SA/ListAll?cnt=13&pageNumber=0&mode=speed&spKeyword=9784276210929,通常１～２日で出荷,メーカーより取寄せ,-,-,-,絶版商品です,現在ご注文できません,-,
5,(EC),丸善ジュンク堂書店-web,発注保留機能,https://www.maruzenjunkudo.co.jp/products/9784415325705,在庫あり,提携倉庫在庫あり,-,-,-,ご予約,✕ お取り扱いできません,-,
6,(EC),日本の古本屋,発注保留機能,URLリスト経由。,＊ページの存在が在庫有りと同義,-,-,-,-,-,-,-,
7,(店頭),丸善ジュンク堂書店_各店頭在庫,発注保留機能、メール送信機能,https://www.maruzenjunkudo.co.jp/pages/shoplist?product=9784393936184,在庫〇 取り置き可,在庫△ 取り置き可,-,-,-,在庫✕,在庫✕ 取寄せ対応,-,
8,(店頭),紀伊国屋書店_各店頭在庫(新宿本店),発注保留機能,https://www.kinokuniya.co.jp/kinonavi/disp/CKnNvSfGoodsPage.jsp?store=G2&q=9784276210929&ptk=01&CAT=01&GOODS_STK_NO=9784276210929&stock_search=null&kinkan=0&stock_cnt=none,◎ 在庫あり,△ 在庫僅少,△ 在庫僅少 ◎ お気に入り店舗在庫あり,,,× 在庫なし,-,-,
9,(店頭),紀伊国屋書店_各店頭在庫(梅田本店),発注保留機能,https://www.kinokuniya.co.jp/kinonavi/disp/CKnNvSfGoodsPage.jsp?store=J2&q=9784276210929&ptk=01&CAT=01&GOODS_STK_NO=9784276210929&stock_search=null&kinkan=0&stock_cnt=none,◎ 在庫あり,△ 在庫僅少,△ 在庫僅少 ◎ お気に入り店舗在庫あり,,,× 在庫なし,-,-,
10,(店頭),三省堂書店_各店頭在庫(神保町本店仮店舗),発注保留機能,https://www.books-sanseido.jp/booksearch/BookStockList.action?shopCode=&areaCode=&shoshiKubun=1&isbn=9784276210929,〇,△,-,-,-,✕,-,-,
,,,,,,,,,,,,,
,,,,URLの表記が変わることを想定して,,,,,,,,,
,,,,読み取った商品コード(ISBN等)を最後尾や真ん中など,,,,,,,,,
,,,,挿入,,,,,,,,,
,,,,https://www.yodobashi.com/?word=,,,,,,,,,
,,,,9784276210929 ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,【製作用URLパターンは発生者側で用意】,,,,,,,,,,,
,,・各サイトごとのURL例をリスト化,,,,,,,,,,,
,,【製作用属性パターンは発生者側で用意】,,,,,,,,,,,
,,・各サイトごとのHTMLテキスト凡例リスト化,,,,,,,,,,,
,,【製作用在庫表示パターンは発生者側で用意】,,,,,,,,,,,
,,・上記と併せて,,,,,,,,,,,
,,【製作用の優先順位リストは発生者側で用意】,,,,,,,,,,,
,,優先順位はコントロールパネルで決めるが、店頭は属性化か,,,,,,,,,,,
,,【製作用の各サイトID及びパスワードは発生者側で用意】,,,,,,,,,,,
,,自動発注先２か所はダミーIDを用意,,,,,,,,,,,
